Open,High,Low,Close,Volume,Datetime
68954.99,68968.3,68281.03,68792.0,314.0852452,2026-02-15 23:00:00+00:00
68792.0,69025.99,68654.8,68805.91,198.68148447,2026-02-16 00:00:00+00:00
68805.92,69000.0,68411.15,68583.25,214.86795528,2026-02-16 01:00:00+00:00
68583.25,68705.31,68205.02,68287.02,192.89005218,2026-02-16 02:00:00+00:00
68288.58,68425.91,68112.44,68386.83,169.84231022,2026-02-16 03:00:00+00:00
68385.48,68849.99,68376.25,68830.14,149.99874686,2026-02-16 04:00:00+00:00
68830.14,68863.96,68253.02,68347.27,145.65456019,2026-02-16 05:00:00+00:00
68347.27,68492.62,68190.08,68415.22,108.2937024,2026-02-16 06:00:00+00:00
68415.21,68635.99,68339.1,68549.82,98.23930915,2026-02-16 07:00:00+00:00
68549.82,68768.0,68502.65,68728.0,224.30605577,2026-02-16 08:00:00+00:00
68728.0,69025.99,68711.59,68963.84,251.05655998,2026-02-16 09:00:00+00:00
68963.83,68963.83,68664.01,68761.26,125.42229007,2026-02-16 10:00:00+00:00
68761.27,68884.01,68283.01,68771.82,270.78622405,2026-02-16 11:00:00+00:00
68771.82,69796.42,68770.41,69723.06,331.43457582,2026-02-16 12:00:00+00:00
69724.03,70089.99,68178.06,68369.85,636.48914308,2026-02-16 13:00:00+00:00
68369.84,68700.0,68229.09,68382.15,625.8788043,2026-02-16 14:00:00+00:00
68382.15,68564.99,67251.81,67502.0,630.06816158,2026-02-16 15:00:00+00:00
67504.36,67938.94,67460.65,67855.48,438.71008919,2026-02-16 16:00:00+00:00
67855.47,68044.7,67561.5,67907.99,335.76494661,2026-02-16 17:00:00+00:00
67905.99,68208.33,67793.14,67829.79,295.26927234,2026-02-16 18:00:00+00:00
67829.78,68098.0,67789.44,67880.63,167.91918614,2026-02-16 19:00:00+00:00
67880.62,68517.68,67790.8,68491.34,250.28674847,2026-02-16 20:00:00+00:00
68493.04,68894.66,68385.26,68822.87,338.21953338,2026-02-16 21:00:00+00:00
68819.97,68865.9,68476.24,68558.98,222.95211923,2026-02-16 22:00:00+00:00
68558.98,68963.26,68499.21,68858.13,203.82813669,2026-02-16 23:00:00+00:00
68859.55,69023.21,68664.0,68850.0,235.51851147,2026-02-17 00:00:00+00:00
68850.0,68967.29,68525.56,68579.28,228.00041831,2026-02-17 01:00:00+00:00
68579.28,69199.51,68341.05,68804.13,344.10079898,2026-02-17 02:00:00+00:00
68804.13,68825.67,68426.48,68432.65,185.51341256,2026-02-17 03:00:00+00:00
68432.64,68668.23,68232.79,68440.69,148.27462768,2026-02-17 04:00:00+00:00
68440.69,68474.55,67850.01,68206.9,228.12997284,2026-02-17 05:00:00+00:00
68206.9,68487.09,68195.28,68369.93,137.27925962,2026-02-17 06:00:00+00:00
68369.92,68444.89,68100.02,68357.51,103.0203462,2026-02-17 07:00:00+00:00
68356.01,68445.0,68087.78,68132.73,86.00216992,2026-02-17 08:00:00+00:00
68132.74,68269.01,67937.78,68085.67,142.79422571,2026-02-17 09:00:00+00:00
68085.67,68153.11,67654.09,67799.89,180.00643614,2026-02-17 10:00:00+00:00
67799.89,67894.0,67638.75,67808.3,204.86954368,2026-02-17 11:00:00+00:00
67808.3,68266.54,67781.73,67884.57,257.16677457,2026-02-17 12:00:00+00:00
67884.57,68319.8,67690.47,68086.87,381.26788898,2026-02-17 13:00:00+00:00
68086.87,68300.0,66675.0,66826.77,1335.36047747,2026-02-17 14:00:00+00:00
66831.13,67384.82,66569.58,67362.33,1223.63228336,2026-02-17 15:00:00+00:00
67355.41,68119.98,67287.69,67491.56,743.5661071,2026-02-17 16:00:00+00:00
67491.56,67682.0,66832.01,67200.93,760.37562585,2026-02-17 17:00:00+00:00
67200.91,68191.2,67075.24,68054.92,757.05683806,2026-02-17 18:00:00+00:00
68058.89,68206.9,67687.95,67755.7,487.4391674,2026-02-17 19:00:00+00:00
67756.22,67885.72,67440.41,67712.49,338.95154665,2026-02-17 20:00:00+00:00
67707.23,67894.31,67490.11,67639.04,294.89500063,2026-02-17 21:00:00+00:00
67639.04,67749.99,67450.01,67491.91,158.27508271,2026-02-17 22:00:00+00:00
67491.9,67599.9,67343.86,67466.7,161.12971119,2026-02-17 23:00:00+00:00
67466.7,67592.68,67246.25,67264.52,179.09639834,2026-02-18 00:00:00+00:00
67264.52,67337.54,66835.98,67132.01,257.59369662,2026-02-18 01:00:00+00:00
67132.01,67389.11,67109.67,67296.0,182.72288043,2026-02-18 02:00:00+00:00
67296.0,67676.0,67289.06,67586.4,233.2846909,2026-02-18 03:00:00+00:00
67586.41,67863.58,67463.55,67788.11,165.40297417,2026-02-18 04:00:00+00:00
67788.11,67903.34,67549.92,67605.71,280.21747091,2026-02-18 05:00:00+00:00
67605.71,67943.94,67573.8,67808.78,92.58293696,2026-02-18 06:00:00+00:00
67808.78,68184.67,67657.83,68081.41,116.6509926,2026-02-18 07:00:00+00:00
68081.41,68438.84,68030.29,68089.99,214.70547197,2026-02-18 08:00:00+00:00
68089.99,68240.52,67968.62,68117.59,133.13175424,2026-02-18 09:00:00+00:00
68117.59,68144.99,67691.41,67762.34,253.64059347,2026-02-18 10:00:00+00:00
67762.48,67764.83,67042.87,67334.9,356.47512152,2026-02-18 11:00:00+00:00
67337.99,67653.59,67309.91,67430.02,266.76936469,2026-02-18 12:00:00+00:00
67430.02,67570.29,67022.0,67215.05,460.57063565,2026-02-18 13:00:00+00:00
67215.05,67338.6,66666.0,67183.19,959.49160923,2026-02-18 14:00:00+00:00
67184.41,68333.93,67149.06,67663.28,964.6844989,2026-02-18 15:00:00+00:00
67663.66,67677.09,66952.62,67101.18,718.81760394,2026-02-18 16:00:00+00:00
67105.38,67457.3,67010.0,67160.31,480.90894973,2026-02-18 17:00:00+00:00
67157.38,67201.26,66155.11,66316.26,776.74783629,2026-02-18 18:00:00+00:00
66314.98,66590.93,65812.57,66135.94,822.07977255,2026-02-18 19:00:00+00:00
66137.51,66516.12,66098.68,66221.41,893.6575844,2026-02-18 20:00:00+00:00
66226.46,66466.71,66052.51,66301.56,457.58881891,2026-02-18 21:00:00+00:00
66301.56,66440.93,66193.51,66361.5,256.29796851,2026-02-18 22:00:00+00:00
66361.49,66465.0,66230.83,66419.79,164.0495926,2026-02-18 23:00:00+00:00
66419.78,66568.76,66300.43,66405.98,194.49083474,2026-02-19 00:00:00+00:00
66405.98,66846.92,66403.74,66835.99,196.42315628,2026-02-19 01:00:00+00:00
66835.98,66930.87,66600.01,66803.82,265.17516511,2026-02-19 02:00:00+00:00
66803.82,66962.01,66687.01,66944.99,205.31874003,2026-02-19 03:00:00+00:00
66944.98,67037.28,66726.0,66763.29,200.09221043,2026-02-19 04:00:00+00:00
66764.77,66858.0,66643.62,66839.8,118.50726106,2026-02-19 05:00:00+00:00
66834.01,67266.0,66831.01,67118.96,195.30250146,2026-02-19 06:00:00+00:00
67118.96,67288.22,66999.0,67171.96,143.72636059,2026-02-19 07:00:00+00:00
67171.95,67171.95,66754.32,66928.99,168.82135276,2026-02-19 08:00:00+00:00
66930.0,67157.48,66720.07,66805.76,134.76085756,2026-02-19 09:00:00+00:00
66805.62,66927.98,66702.2,66804.0,95.51270663,2026-02-19 10:00:00+00:00
66800.44,66900.0,66426.01,66457.45,156.14311403,2026-02-19 11:00:00+00:00
66457.44,66653.53,66286.23,66482.37,240.9046411,2026-02-19 12:00:00+00:00
66482.36,66528.26,65727.34,65878.37,535.55094518,2026-02-19 13:00:00+00:00
65876.88,66651.51,65604.63,66397.57,934.64173483,2026-02-19 14:00:00+00:00
66397.57,66734.93,65938.1,66367.99,1107.43023549,2026-02-19 15:00:00+00:00
66367.98,66492.8,65850.0,66262.15,659.68029035,2026-02-19 16:00:00+00:00
66262.15,67034.91,66142.03,66334.39,653.83724773,2026-02-19 17:00:00+00:00
66334.39,67045.75,66202.52,67002.85,688.39850276,2026-02-19 18:00:00+00:00
67005.61,67179.95,66669.18,67025.61,492.69492436,2026-02-19 19:00:00+00:00
67025.6,67161.05,66801.11,67125.14,476.98252866,2026-02-19 20:00:00+00:00
67126.1,67147.0,66868.83,66900.26,259.06628789,2026-02-19 21:00:00+00:00
66900.25,66974.77,66613.89,66880.59,201.53502271,2026-02-19 22:00:00+00:00
66878.01,66996.59,66781.59,66972.5,180.29970721,2026-02-19 23:00:00+00:00
66972.49,67478.38,66910.35,67195.96,368.54054207,2026-02-20 00:00:00+00:00
67195.37,67328.2,67114.42,67253.99,248.9647896,2026-02-20 01:00:00+00:00
67255.43,67315.64,67142.34,67209.99,136.96644358,2026-02-20 02:00:00+00:00
67209.99,67464.13,67208.63,67332.43,196.13452462,2026-02-20 03:00:00+00:00
67335.09,67364.7,67076.0,67236.01,197.92347535,2026-02-20 04:00:00+00:00
67236.01,67997.81,67177.18,67766.77,368.32541236,2026-02-20 05:00:00+00:00
67766.77,67872.49,67638.14,67820.71,162.26947878,2026-02-20 06:00:00+00:00
67820.71,67971.82,67745.04,67809.28,176.94523536,2026-02-20 07:00:00+00:00
67809.27,67925.77,67728.01,67852.0,153.79459363,2026-02-20 08:00:00+00:00
67853.85,68208.25,67853.16,68190.89,318.99584767,2026-02-20 09:00:00+00:00
68190.89,68294.86,67843.88,67924.64,356.56527596,2026-02-20 10:00:00+00:00
67927.86,67959.95,67257.38,67303.5,451.25941544,2026-02-20 11:00:00+00:00
67301.25,67587.36,67250.0,67521.23,289.01578828,2026-02-20 12:00:00+00:00
67520.7,67520.7,66427.23,66791.43,811.28380337,2026-02-20 13:00:00+00:00
66791.43,67310.99,66644.23,67066.99,803.2898831,2026-02-20 14:00:00+00:00
67059.01,68069.75,66529.5,67578.79,1543.77149197,2026-02-20 15:00:00+00:00
67578.79,67921.16,67128.69,67786.99,977.86156462,2026-02-20 16:00:00+00:00
67785.67,67785.67,66938.32,67602.07,1389.50041907,2026-02-20 17:00:00+00:00
67602.07,68000.0,67434.3,67917.99,867.73913016,2026-02-20 18:00:00+00:00
67917.99,67996.59,67530.11,67625.99,490.88759024,2026-02-20 19:00:00+00:00
67625.98,67826.36,67500.0,67733.36,329.37071075,2026-02-20 20:00:00+00:00
67730.14,67816.99,67607.43,67799.68,240.13995341,2026-02-20 21:00:00+00:00
67799.67,68086.19,67611.19,68052.28,254.91637367,2026-02-20 22:00:00+00:00
68052.28,68207.44,67878.85,67984.42,215.08782806,2026-02-20 23:00:00+00:00
67984.42,68025.87,67758.19,67811.76,170.94972211,2026-02-21 00:00:00+00:00
67811.76,67986.0,67800.0,67927.75,107.85026764,2026-02-21 01:00:00+00:00
67928.77,68085.57,67884.47,67980.65,107.3824087,2026-02-21 02:00:00+00:00
67980.64,67980.65,67516.93,67648.88,237.36725208,2026-02-21 03:00:00+00:00
67648.88,67832.02,67567.9,67797.72,97.27391985,2026-02-21 04:00:00+00:00
67797.72,67874.55,67785.52,67841.32,76.39127022,2026-02-21 05:00:00+00:00
67841.33,67903.17,67735.59,67771.19,54.2012956,2026-02-21 06:00:00+00:00
67771.19,67867.54,67730.2,67835.99,49.49252099,2026-02-21 07:00:00+00:00
67835.99,68071.1,67790.0,68035.18,106.58913993,2026-02-21 08:00:00+00:00
68035.18,68285.0,67954.26,68126.28,131.45241252,2026-02-21 09:00:00+00:00
68126.28,68225.68,68120.13,68199.99,59.33172867,2026-02-21 10:00:00+00:00
68199.97,68265.57,68058.0,68076.47,75.64179277,2026-02-21 11:00:00+00:00
68076.47,68201.0,67894.6,68191.77,108.31362992,2026-02-21 12:00:00+00:00
68191.77,68249.99,68074.8,68238.51,83.75939006,2026-02-21 13:00:00+00:00
68238.51,68608.01,68161.61,68427.97,253.52944261,2026-02-21 14:00:00+00:00
68427.97,68683.27,68389.06,68595.16,166.44533738,2026-02-21 15:00:00+00:00
68595.16,68620.5,68080.0,68313.43,273.62089098,2026-02-21 16:00:00+00:00
68314.78,68457.68,68185.06,68425.5,188.90826931,2026-02-21 17:00:00+00:00
68388.06,68627.0,68367.61,68564.99,200.28145042,2026-02-21 18:00:00+00:00
68564.98,68647.42,68510.79,68533.24,110.32584084,2026-02-21 19:00:00+00:00
68533.24,68587.61,68170.15,68199.99,162.20238863,2026-02-21 20:00:00+00:00
